Gaze tracking data for MED603 experiment 1
User is supposed to look at coordinates (719.0, 382.0)
Timestamp is in HH-mm-ss-fffffff
------------------------------
Timestamp,x,y
16-40-40-5140800,777.1055,465.5117
16-40-40-6787380,777.1055,465.5117
16-40-40-8376480,777.1055,465.5117
16-40-40-9937430,777.1055,465.5117
16-40-41-1339700,777.1055,465.5117
16-40-41-2703580,777.1055,465.5117
16-40-41-3973920,777.1055,465.5117
16-40-41-5339410,777.1055,465.5117
16-40-41-7022440,777.1055,465.5117
16-40-41-8614810,777.1055,465.5117
16-40-42-0176300,777.1055,465.5117
16-40-42-1498850,777.1055,465.5117
16-40-42-3179630,777.1055,465.5117
16-40-42-4832360,777.1055,465.5117
16-40-42-6431000,777.1055,465.5117
16-40-42-7946590,777.1055,465.5117
16-40-42-9617940,777.1055,465.5117
16-40-43-1355110,777.1055,465.5117
16-40-43-3017010,777.1055,465.5117
16-40-43-4617160,777.1055,465.5117
16-40-43-5937610,777.1055,465.5117
16-40-43-7620630,777.1055,465.5117
16-40-43-9299080,777.1055,465.5117
16-40-44-0855740,777.1055,465.5117
16-40-44-2174950,777.1055,465.5117
16-40-44-3554620,777.1055,465.5117
16-40-44-5136900,777.1055,465.5117
16-40-44-6739700,777.1055,465.5117
16-40-44-8337070,777.1055,465.5117
16-40-44-9897670,777.1055,465.5117
16-40-45-1262480,777.1055,465.5117
16-40-45-2901840,777.1055,465.5117
16-40-45-4415350,777.1055,465.5117
16-40-45-5984430,777.1055,465.5117
16-40-45-7614740,777.1055,465.5117
16-40-45-9300010,777.1055,465.5117
16-40-46-0898760,777.1055,465.5117
16-40-46-2455810,777.1055,465.5117
16-40-46-4059280,777.1055,465.5117
16-40-46-5347790,777.1055,465.5117
16-40-46-6935750,777.1055,465.5117
16-40-46-8540750,777.1055,465.5117
16-40-47-0057630,777.1055,465.5117
16-40-47-1699830,777.1055,465.5117
16-40-47-3338450,777.1055,465.5117
16-40-47-4978900,777.1055,465.5117
16-40-47-6618130,777.1055,465.5117
16-40-47-8220050,777.1055,465.5117
16-40-47-9776120,777.1055,465.5117
16-40-48-9341610,777.1055,465.5117
16-40-49-0871020,777.1055,465.5117
16-40-49-2453940,777.1055,465.5117
16-40-49-4099370,777.1055,465.5117
16-40-49-5657770,777.1055,465.5117
16-40-49-7180870,777.1055,465.5117
16-40-49-8774080,777.1055,465.5117
16-40-50-0375420,777.1055,465.5117
16-40-50-1978730,777.1055,465.5117
16-40-50-3618470,777.1055,465.5117
16-40-50-5215360,777.1055,465.5117
16-40-50-6493470,777.1055,465.5117
16-40-50-7814670,777.1055,465.5117
16-40-50-9373990,777.1055,465.5117
16-40-51-1015710,777.1055,465.5117
